REGION_DE_NAISSANCE,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1
 Dakar,1,Deuxième Session,,1.94,NON ADMIS,1,2018,F,S2,LYCEE DE DJILOR SALOUM,Académie de Fatick,DJILOR,LYCEE DE DJILOR SALOUM,1,Pass,2,1999,9.75,11.82,10.56,10.78,11,8,8,9,10,6.0,208,8.0,11.0,12.41,19,157.0,274,1.94,347
 Ziguinchor,1,Première Session,Passable,11.94,PASSE,1,2018,M,S1,LYCEE AHOUNE SANE,Académie de Ziguinchor,BIGNONA,CEM ARFANG BESIRE SONKO,1,ABien,1,1999,13.59,13.48,9.97,10.43,17,11,13,13,8,8.0,348,12.89,12.89,14.0,19,349.0,1,111.94,34
 Dakar,1,Première Session,Assez-Bien,13.43,PASSE,1,2018,M,S1,LYCEE DE MBAO,Académie de Pikine - Guédiawaye,MBAO,LYCEE DE MBAO,2,ABien,1,1996,14.89,14.7,13.16,13.13,13,13,10,11,9,8.0,324,12.0,12.0,13.0,22,299.25,24,113.43,13
 Kaolack,1,Deuxième Session,,6.62,NON ADMIS,1,2018,M,S2,LYCEE MABA DIAKHOU BA,Académie de Kaolack,NIORO,LYCEE MABA DIAKHOU BA,1,Pass,2,2003,11.11,9.33,9.65,8.75,18,9,10,7,6,5.0,249,9.58,12.42,14.12,21,216.0,173,6.62,250
 Thiès,1,Première Session,Passable,11.68,PASSE,1,2018,M,S1,LYCEE DEMBA DIOP,Académie de Thiès,MBOUR,COMPLEXE SCOLAIRE INTERN-KEUR MADIOR,1,Pass,1,2018,15.82,13.96,12.52,12.38,8,12,16,11,10,6.0,292,10.81,10.81,10.0,20,244.0,107,111.68,42
 Tambacounda,1,Deuxième Session,,9.42,AUTORISE,1,2018,F,S1,LYCEE MAME CHEIKH MBAYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,Pass,1,2000,17.07,12.68,12.71,13.16,8,11,8,16,12,8.0,281,10.41,10.41,9.5,18,248.0,97,9.42,158
 Thiès,1,Deuxième Session,,8.07,NON ADMIS,1,2018,M,S2,LYCEE LEOPOLD SEDAR SENGHOR,Académie de Thiès,JOAL,LYCEE LEOPOLD SEDAR SENGHOR,1,Pass,1,1999,14.04,11.73,10.98,11.15,13,9,10,8,9,9.0,260,10.0,10.0,10.18,19,181.0,230,8.07,209
 Tambacounda,1,Deuxième Session,,7.89,AUTORISE,1,2018,M,S2,LYCEE MAME CHEIKH MBAYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,2,ABien,1,1997,15.07,12.3,14.03,13.48,18,18,8,13,12,3.0,314,12.08,12.08,12.71,21,275.5,45,7.89,214
 Tambacounda,1,Première Session,Passable,10.9,PASSE,1,2018,M,S2,LYCEE MAME CHEIKH MBAYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,Pass,2,2011,13.43,10.66,11.29,10.89,13,8,1,13,4,5.0,212,8.15,11.15,10.88,19,175.0,239,110.9,66
 Kaolack,1,Première Session,Assez-Bien,13.1,PASSE,1,2018,M,S1,LYCEE DES PARCELLES ASSAINIES U13,Académie de Dakar,PARCELLES ASSAINIES,LYCEE SERGENT MALAMINE CAMARA,1,ABien,1,2011,14.01,13.39,13.48,13.48,10,15,12,7,14,9.0,324,12.0,12.0,12.5,20,300.0,23,113.1,19
 Thiès,1,Deuxième Session,,9.26,AUTORISE,1,2018,M,S2,LYCEE DE SALY,Académie de Thiès,SALY,LYCEE DE SALY,1,Pass,1,2008,9.57,10.77,10.0,9.83,17,14,5,6,3,7.0,262,10.08,10.08,12.41,20,237.0,129,9.26,165
 Ziguinchor,1,Deuxième Session,,6.93,NON ADMIS,1,2018,M,S2,LYCEE DE DJIBIDIONE,Académie de Ziguinchor,DJIBIDIONE,LYCEE DE DJIBIDIONE,2,Pass,2,1995,9.81,11.09,13.89,13.87,12,9,10,8,13,6.0,239,9.19,12.65,13.41,23,153.9,281,6.93,241
 Dakar,1,Deuxième Session,,5.34,NON ADMIS,1,2018,M,S2,LYCEE BABACAR COBAR NDAW,Académie de Kaffrine,KAFFRINE,LYCEE BABACAR COBAR NDAW,3,Pass,1,1997,9.6,10.22,12.07,12.02,12,12,10,10,9,7.0,260,10.0,10.0,10.24,21,162.0,261,5.34,278
 Diourbel,1,Première Session,Passable,11.68,PASSE,1,2018,M,S1,LYCEE BANQUE ISLAMIQUE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,1,2011,13.65,12.87,10.54,11.75,10,12,10,8,10,9.0,284,10.52,10.52,11.0,18,272.0,48,111.68,42
 Dakar,1,Première Session,Passable,10.44,PASSE,1,2018,F,S1,LYCEE MODERNE DE RUFISQUE,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,1,Pass,1,2010,15.25,12.67,11.52,13.17,10,10,9,7,9,12.0,271,10.04,10.04,10.0,19,260.0,75,110.44,83
 Tambacounda,1,Deuxième Session,,6.54,NON ADMIS,1,2018,M,S2,COURS PRIVES LAMINE GUEYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,2,Pass,2,1995,10.58,9.0,10.28,10.8,6,8,7,7,9,10.0,208,8.0,10.27,10.41,23,96.89999999999999,346,6.54,255
 Kaolack,1,Deuxième Session,,6.54,NON ADMIS,1,2018,M,S2,LYCEE DE KAHONE,Académie de Kaolack,KAHONE,LYCEE DE KAHONE,1,Pass,2,2011,11.52,10.5,10.73,10.4,14,11,7,5,10,6.0,242,9.31,11.73,13.29,18,202.0,199,6.54,255
 Tambacounda,1,Deuxième Session,,8.67,AUTORISE,1,2017,F,S1,LYCEE WAOUNDE NDIAYE,Académie de Tambacounda,BAKEL,LYCEE WAOUNDE NDIAYE,1,Pass,2,1999,15.19,14.25,12.16,11.24,6,9,10,8,11,4.0,216,8.0,10.33,10.5,19,218.0,169,8.67,189
 Dakar,1,Deuxième Session,Passable,11.88,PASSE,1,2018,M,S1,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,ABien,1,2001,16.21,13.64,12.74,14.04,13,13,14,7,12,8.0,324,12.0,12.0,13.0,18,325.0,10,11.88,103
 Kaolack,1,Deuxième Session,,4.5,NON ADMIS,1,2018,M,S2,LYCEE SERIGNE MOUSTAPHA BASSIROU DE POROKHANE,Académie de Kaolack,POROKHANE,LYCEE DE POROKHANE,2,Pass,2,2009,9.98,10.93,11.17,11.75,10,9,6,8,9,8.0,230,8.85,10.38,10.59,21,136.79999999999998,311,4.5,305
 Kaolack,1,Deuxième Session,,7.77,AUTORISE,1,2018,M,S2,LYCEE DE NDOFFANE,Académie de Kaolack,NDOFFANE,LYCEE DE NDOFFANE,1,Pass,1,2006,11.5,12.97,11.81,11.36,16,12,7,8,10,5.0,263,10.12,10.12,10.71,17,226.0,154,7.77,220
Kaffrine,1,Deuxième Session,,4.87,NON ADMIS,1,2018,M,S2,LYCEE EL HADJI IBRAHIMA BA KOUNGHEUL,Académie de Kaffrine,KOUNGHEUL,LYCEE EL HADJI IBRAHIMA BA KOUNGHEUL,1,Pass,1,2007,13.49,10.84,8.77,10.02,12,10,11,6,10,9.0,260,10.0,10.0,10.24,21,168.0,250,4.87,296
 Kaolack,1,Deuxième Session,,2.83,NON ADMIS,1,2018,M,S2,LYCEE MACIRE BA DE KEDOUGOU,Académie de Kédougou,KEDOUGOU,LYCEE TECHNIQUE INDUSTRIEL DE KEDOUGOU,1,Pass,2,2010,11.72,11.2,11.76,10.76,4,10,10,5,11,8.0,213,8.19,10.04,10.06,19,106.0,342,2.83,335
 Kaolack,1,Première Session,Assez-Bien,12.74,PASSE,1,2018,M,S1,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,ABien,1,2010,14.26,13.34,13.48,14.4,16,12,10,10,14,3.0,326,12.07,12.07,14.0,19,346.0,2,112.74,28
 Louga,1,Première Session,Passable,11.2,PASSE,1,2018,M,S1,LYCEE MACODOU KANGUE SALL,Académie de Louga,KEBEMER,LYCEE MACODOU KANGUE SALL,1,Pass,1,1997,13.51,13.29,10.42,10.87,10,13,12,4,6,4.0,270,10.0,10.0,11.5,21,268.0,55,111.2,53
