REGION_DE_NAISSANCE,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1
 Dakar,1,Deuxième Session,,8.81,AUTORISE,1,2018,F,S2,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,Pass,2,1999,13.09,11.56,10.96,10.85,11,8,5,5,4,10.0,219,8.42,10.19,11.59,19,157.0,274,8.81,186
 Dakar,1,Deuxième Session,,8.43,NON ADMIS,1,2018,F,S2,LYCEE DEMBA DIOP,Académie de Thiès,MBOUR,COMPLEXE SCOLAIRE INTERN-KEUR MADIOR,2,Pass,2,1996,9.93,10.42,10.52,10.52,10,9,6,4,5,8.0,214,8.23,10.77,11.41,22,136.79999999999998,311,8.43,195
 Saint-Louis,1,Première Session,Assez-Bien,13.4,PASSE,1,2018,M,S1,LYCEE EL HADJ OMAR FOUTIYOU TALL,Académie de Saint - Louis,SAINT LOUIS,LYCEE TECHNIQUE ANDRE PEYTAVIN,1,Pass,1,1999,16.15,14.93,13.8,13.02,10,12,8,10,5,13.0,271,10.04,10.04,11.0,19,272.0,48,113.4,14
 Dakar,1,Première Session,Passable,10.0,PASSE,1,2018,M,S2,LYCEE PLAN JAXAAY,Académie de Rufisque,JAXAAY,LYCEE PLAN JAXAAY,1,Pass,1,2000,13.26,11.83,13.36,14.14,14,13,8,10,15,5.0,273,10.5,10.5,10.47,19,214.0,178,110.0,96
 Saint-Louis,1,Première Session,Assez-Bien,13.07,PASSE,1,2018,M,S1,LYCEE SEYDINA ISSA ROHOU LAHI,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,1,1998,12.01,12.38,10.13,12.47,9,10,13,6,11,9.0,271,10.04,10.04,9.5,20,241.0,113,113.07,20
 Saint-Louis,1,Deuxième Session,,3.51,NON ADMIS,1,2018,M,S2,LYCEE DE TASSINERE,Académie de Saint - Louis,TASSINERE,LYCEE DE TASSINERE,1,Pass,2,2002,10.87,10.18,8.44,9.25,8,9,10,8,9,7.0,219,8.42,10.62,11.18,20,126.0,327,3.51,326
 Thiès,1,Deuxième Session,,9.86,AUTORISE,1,2018,F,S1,LYCEE MODERNE DE RUFISQUE,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,1,Pass,1,2000,14.63,12.31,10.98,11.32,9,9,9,12,10,10.0,271,10.04,10.04,9.0,18,245.0,103,9.86,151
 Matam,1,Deuxième Session,Assez-Bien,12.39,PASSE,1,2018,M,S1,LYCEE DE MATAM,Académie de Matam,MATAM,LYCEE DE MATAM,2,ABien,1,2010,13.39,12.61,13.1,12.27,12,13,16,10,14,17.0,358,13.26,13.26,12.5,21,290.7,30,12.39,101
 Saint-Louis,1,Deuxième Session,,9.05,NON ADMIS,1,2018,M,S1,LYCEE CHARLES DEGAULLE,Académie de Saint - Louis,SAINT LOUIS,LYCEE TECHNIQUE ANDRE PEYTAVIN,1,Pass,2,2003,13.77,12.28,11.72,12.55,8,7,8,12,12,6.0,235,8.7,10.56,9.5,19,224.0,160,9.05,176
 Diourbel,1,Deuxième Session,,6.89,NON ADMIS,1,2018,M,S2,LYCEE WAOUNDE NDIAYE,Académie de Tambacounda,BAKEL,LYCEE WAOUNDE NDIAYE,1,Pass,1,2011,12.66,10.95,9.6,10.8,12,15,10,11,12,3.0,260,10.0,10.0,9.88,20,198.0,203,6.89,244
 Kolda,1,Deuxième Session,Passable,10.39,PASSE,1,2018,M,S2,"LYCEE CATHOLIQUE PRIVE ""SAINT BENOIT""",Académie de Kolda,KOLDA,LYCEE ALPHA MOLO BALDE,1,ABien,1,1999,12.77,11.23,12.52,12.8,12,13,16,5,11,12.0,309,11.88,12.19,12.35,19,216.0,173,10.39,134
 Kolda,1,Deuxième Session,,8.24,NON ADMIS,1,2018,M,S2,LYCEE DE DABO,Académie de Kolda,DABO,LYCEE DE DABO,3,Pass,1,2005,11.41,11.01,11.38,11.75,18,12,14,8,7,7.0,298,11.46,11.46,12.0,21,210.6,187,8.24,204
 Kaolack,1,Deuxième Session,,4.9,NON ADMIS,1,2018,M,S2,ECOLE PRIVEE GANDAL EXCELLENCE,Académie de Kolda,KOLDA,LYCEE ALPHA MOLO BALDE,4,Pass,2,1993,11.05,11.27,11.38,9.33,15,9,12,12,8,2.0,235,9.04,11.88,12.18,25,160.65,265,4.9,293
 Kaolack,1,Première Session,Bien,14.1,PASSE,1,2018,M,S1,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,ABien,1,1997,15.58,12.93,13.22,12.98,14,12,12,8,11,8.0,324,12.0,12.0,13.0,21,318.0,12,114.1,9
 Tambacounda,1,Première Session,Passable,10.83,PASSE,1,2018,M,S2,LYCEE MAME CHEIKH MBAYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,ABien,1,2015,15.5,12.55,12.85,13.37,19,13,9,8,8,8.0,312,12.0,12.0,13.0,19,279.0,40,110.83,71
 Kaolack,1,Première Session,Très-Bien,16.77,PASSE,1,2018,M,S1,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,ABien,1,2000,14.17,15.15,15.09,15.55,14,15,13,10,6,3.0,335,12.41,12.41,14.5,18,346.0,2,116.77,3
 Kaolack,1,Deuxième Session,,8.85,AUTORISE,1,2018,M,S2,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,2,ABien,1,1996,12.97,11.13,12.05,12.66,15,16,13,10,14,5.0,314,12.08,12.08,11.82,22,238.45,123,8.85,182
 Thiès,1,Deuxième Session,,3.81,NON ADMIS,1,2018,M,S2,LYCEE CHEIKH MOURATH NDAO,Académie de Thiès,MEKHE,CEM  CHEIKH MOURATH NDAO DE MEKHE,1,Pass,2,1998,12.91,11.36,8.79,9.4,6,7,8,6,6,9.0,208,8.0,10.08,9.88,20,96.0,347,3.81,319
 Ziguinchor,1,Deuxième Session,,4.52,NON ADMIS,1,2018,F,S2,LYCEE MALICK SY,Académie de Thiès,THIES,LYCEE D' ENSEIGNEMENT TECHNIQUE ET DE FORMATION PR,2,ABien,1,2007,11.88,9.89,12.53,12.15,15,15,10,7,5,13.0,318,12.23,12.23,14.29,20,232.75,142,4.52,304
 Dakar,1,Deuxième Session,Passable,11.17,PASSE,1,2018,F,S1,LYCEE JOHN F KENNEDY,Académie de Dakar,DAKAR,LYCEE TECHNIQUE INDUSTRIEL DELAFOSSE,1,Pass,1,2000,14.99,13.88,12.97,10.37,9,10,11,9,11,10.0,273,10.11,10.11,9.5,18,251.0,90,11.17,113
 Dakar,1,Première Session,Passable,10.7,PASSE,1,2018,M,S1,ECOLE PRIVEE DAVID DIOP MENDES,Académie de Pikine - Guédiawaye,MBAO,LYCEE DE MBAO,1,ABien,1,2015,15.43,15.21,13.89,14.13,14,13,11,10,11,6.0,331,12.26,12.26,13.5,19,334.0,6,110.7,77
 Kaolack,1,Deuxième Session,,8.39,NON ADMIS,1,2017,M,S1,LYCEE ABDOULAYE SADJI,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,1,Pass,2,1997,12.41,10.94,9.46,9.38,6,12,11,7,6,10.0,249,9.22,10.11,10.5,21,226.0,154,8.39,199
 Dakar,1,Première Session,Assez-Bien,12.0,PASSE,1,2018,M,S1,LYCEE MIXTE MAURICE DELAFOSSE,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,2015,14.56,13.03,11.46,13.3,11,12,12,6,6,9.0,283,10.48,10.48,11.5,19,281.0,38,112.0,32
 Dakar,1,Deuxième Session,,2.3,NON ADMIS,1,2018,M,S2,LYCEE MAME CHEIKH MBAYE,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,Pass,1,1999,13.84,11.32,10.75,9.95,11,12,9,8,7,13.0,285,10.96,10.96,12.06,19,181.0,230,2.3,342
 Diourbel,1,Deuxième Session,,2.86,NON ADMIS,1,2018,M,S2,LYCEE DE BAMBEY SERERE,Académie de Diourbel,BAMBEY SERERE,LYCEE DE BAMBEY SERERE,2,Pass,2,2008,11.45,10.4,9.2,8.96,6,9,8,9,11,4.0,208,8.0,11.46,10.94,22,102.6,345,2.86,333
 Dakar,1,Deuxième Session,,2.5,NON ADMIS,1,2018,F,S2,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,2,1998,10.44,9.7,8.17,8.57,12,9,13,12,8,4.0,240,9.23,10.92,10.59,20,162.0,261,2.5,341
 Fatick,1,Deuxième Session,,3.89,NON ADMIS,1,2018,F,S2,LYCEE DE TOUCAR,Académie de Fatick,TOUCAR,LYCEE DE TOUCAR,1,Pass,2,1999,13.01,12.54,9.89,9.77,8,9,9,5,4,10.0,215,8.27,10.0,10.76,19,136.0,315,3.89,316
 Dakar,1,Deuxième Session,,9.4,AUTORISE,1,2018,M,S2,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,CEM THIAROYE 44,1,Pass,1,1996,12.19,11.58,10.85,11.39,17,10,10,7,4,11.0,281,10.81,10.81,12.41,22,213.0,182,9.4,160
 Dakar,1,Première Session,Passable,11.61,PASSE,1,2018,M,S1,LYCEE DE SEBIKOTANE,Académie de Rufisque,SEBIKOTANE,LYCEE DE SEBIKOTANE,1,Pass,2,1995,13.43,12.89,11.06,11.13,11,8,8,5,6,6.0,230,8.52,10.59,13.0,23,247.0,99,111.61,45
 Diourbel,1,Première Session,Assez-Bien,12.46,PASSE,1,2018,M,S1,LYCEE DE NDANGALMA,Académie de Diourbel,NDANGALMA,LYCEE DE NDANGALMA,1,Pass,1,2015,14.8,12.31,12.79,12.43,13,12,12,5,11,8.0,299,11.07,11.07,12.5,21,289.0,31,112.46000000000001,30
 Diourbel,1,Deuxième Session,,8.24,AUTORISE,1,2018,M,S1,LYCEE DE NDANGALMA,Académie de Diourbel,NDANGALMA,LYCEE DE NDANGALMA,2,Pass,2,2002,13.75,10.53,10.08,9.33,7,10,7,6,7,8.0,216,8.0,11.78,14.5,22,211.85,185,8.24,204
 Thiès,1,Première Session,Passable,10.81,PASSE,1,2018,M,S1,LYCEE DEMBA DIOP,Académie de Thiès,MBOUR,COMPLEXE SCOLAIRE INTERN-KEUR MADIOR,1,Pass,1,1999,15.71,13.1,12.72,12.19,11,6,15,7,14,6.0,271,10.04,10.04,8.5,19,245.0,103,110.81,72
 Dakar,1,Deuxième Session,,5.21,NON ADMIS,1,2018,M,S2,LYCEE ABDOULAYE SADJI,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,2,Pass,2,1996,11.21,9.5,8.32,9.31,12,11,5,7,5,7.0,222,8.54,10.15,11.29,22,165.29999999999998,257,5.21,285
 Kaolack,1,Deuxième Session,,9.18,AUTORISE,1,2018,M,S2,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,Pass,1,1996,12.51,10.24,11.79,10.56,13,14,11,7,8,5.0,260,10.0,10.0,10.53,22,201.0,200,9.18,170
 Dakar,1,Première Session,Assez-Bien,13.85,PASSE,1,2018,M,S1,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,Académie de Pikine - Guédiawaye,KEUR MASSAR,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,1,ABien,1,1999,16.3,13.86,14.01,14.93,12,12,8,14,13,13.0,319,11.81,12.0,12.0,19,310.0,15,113.85,11
 Dakar,1,Deuxième Session,,4.92,NON ADMIS,1,2018,F,S2,GROUPE SCOLAIRE HALWAR,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,2000,14.21,12.69,11.84,11.17,10,12,13,10,17,6.0,282,10.85,10.85,9.29,18,172.0,244,4.92,292
 Kolda,1,Deuxième Session,,7.54,NON ADMIS,1,2018,M,S1,"LYCEE CATHOLIQUE PRIVE ""SAINT BENOIT""",Académie de Kolda,KOLDA,LYCEE ALPHA MOLO BALDE,1,Pass,1,1998,12.75,12.18,11.93,11.53,12,10,10,11,11,6.0,293,10.85,10.85,11.0,20,268.0,55,7.54,227
 Diourbel,1,Première Session,Assez-Bien,12.94,PASSE,1,2018,M,S2,LYCEE EL HADJI ABDOU HAMID KANE,Académie de Kaolack,KAOLACK,COLLEGE PRIVE MBOUTOU SOW,1,ABien,1,1999,14.87,13.25,14.0,12.94,19,16,13,4,13,7.0,328,12.62,12.62,13.71,19,297.0,25,112.94,23
 Louga,1,Première Session,Assez-Bien,13.6,PASSE,1,2018,M,S1,LYCEE DES PARCELLES ASSAINIES U13,Académie de Dakar,PARCELLES ASSAINIES,LYCEE SERGENT MALAMINE CAMARA,1,ABien,1,2010,14.09,13.26,13.84,12.85,13,12,12,10,13,11.0,334,12.37,12.37,12.5,19,319.0,11,113.6,12
 Kaolack,1,Deuxième Session,,6.12,NON ADMIS,1,2018,M,S2,LYCEE MABA DIAKHOU BA,Académie de Kaolack,NIORO,LYCEE MABA DIAKHOU BA,2,Pass,2,2010,10.36,11.31,9.77,11.02,12,9,11,8,2,9.0,239,9.19,10.88,12.35,20,153.9,281,6.12,263
 Thiès,1,Deuxième Session,Passable,10.57,PASSE,1,2018,M,S2,LYCEE DE MEDINA FALL,Académie de Thiès,THIES,COLLEGE SAINT GABRIEL,2,Pass,2,1995,11.61,11.6,11.78,10.97,14,13,6,8,6,2.0,226,8.69,10.69,12.47,23,193.79999999999998,211,10.57,130
 Louga,1,Deuxième Session,,5.15,NON ADMIS,1,2018,F,S2,LYCEE MACODOU KANGUE SALL,Académie de Louga,KEBEMER,LYCEE MACODOU KANGUE SALL,1,Pass,2,1998,9.92,11.98,8.18,8.97,11,10,8,7,8,5.0,217,8.35,10.19,11.35,20,159.0,271,5.15,286
 Thiès,1,Deuxième Session,Passable,10.46,PASSE,1,2018,F,S1,LYCEE CHEIKH AMADOU LAMINE DABO,Académie de Thiès,MBOUR,COMPLEXE SCOLAIRE INTERN-KEUR MADIOR,1,Pass,1,1999,15.57,15.18,13.3,13.07,12,9,11,10,13,8.0,292,10.81,10.81,10.5,19,272.0,48,10.46,132
 Louga,1,Deuxième Session,,4.96,NON ADMIS,1,2018,M,S2,LYCEE DE DAHRA,Académie de Louga,DAHRA,LYCEE DE DAHRA,1,Pass,1,2011,14.18,13.94,12.62,11.16,12,8,10,12,15,8.0,260,10.0,10.0,9.18,19,166.0,253,4.96,289
 Saint-Louis,1,Deuxième Session,,7.17,NON ADMIS,1,2018,F,S2,ECOLE PRIVEE DIDIER MARIE,Académie de Saint - Louis,SAINT LOUIS,LYCEE TECHNIQUE ANDRE PEYTAVIN,1,Bien,1,1999,13.68,14.67,13.32,15.35,18,15,12,12,13,14.0,366,14.08,14.08,15.53,20,282.0,36,7.17,237
 Louga,1,Deuxième Session,Passable,10.4,PASSE,1,2018,M,S2,LYCEE DE NDANDE,Académie de Louga,NDANDE,LYCEE DE NDANDE,1,Pass,2,2007,13.08,12.6,11.96,11.44,18,8,6,7,12,4.0,238,9.15,13.88,15.88,19,220.0,165,10.4,133
 Kaolack,1,Deuxième Session,,7.57,NON ADMIS,1,2018,M,S2,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,Pass,1,2000,11.12,11.22,10.58,11.38,12,9,10,6,8,12.0,260,10.0,10.0,10.94,18,172.0,244,7.57,225
 Dakar,1,Deuxième Session,,3.79,NON ADMIS,1,2018,M,S1,LYCEE GALANDOU DIOUF,Académie de Dakar,DAKAR,LYCEE TECHNIQUE INDUSTRIEL DELAFOSSE,1,ABien,1,1997,16.55,14.23,14.29,13.73,11,11,12,12,19,14.0,334,12.37,12.37,11.0,21,285.0,35,3.79,321
 Kaolack,1,Deuxième Session,Passable,10.47,PASSE,1,2018,M,S1,LYCEE SERIGNE KHASSIM MBACKE GUINGUINEO,Académie de Kaolack,GUINGUINEO,LYCEE SERIGNE KHASSIM MBACKE GUINGUINEO,1,Pass,1,1999,14.3,11.83,12.57,11.64,7,13,10,8,10,9.0,273,10.11,10.11,10.0,20,241.0,113,10.47,131
 Kaolack,1,Deuxième Session,,8.85,AUTORISE,1,2018,M,S2,LYCEE MABA DIAKHOU BA,Académie de Kaolack,NIORO,LYCEE MABA DIAKHOU BA,1,Pass,1,2008,13.58,10.94,8.22,10.72,16,11,9,7,5,8.0,260,10.0,10.0,11.41,18,220.0,165,8.85,182
,1,Première Session,Passable,11.16,PASSE,1,2018,F,S2,LYCEE DE KANEL,Académie de Matam,KANEL,LYCEE DE KANEL,2,ABien,1,2011,13.83,10.89,12.86,13.08,17,16,10,10,11,6.0,315,12.12,12.12,12.76,20,255.54999999999998,83,111.16,56
 Dakar,1,Deuxième Session,Passable,10.38,PASSE,1,2017,M,S1,LYCEE THIERNO SAIDOU NOUROU TALL,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,2,1996,16.32,11.88,11.8,11.16,6,9,11,7,12,5.0,216,8.0,10.0,9.5,22,208.0,189,10.38,135
 Louga,1,Deuxième Session,,7.6,NON ADMIS,1,2018,M,S2,LYCEE MACODOU KANGUE SALL,Académie de Louga,KEBEMER,LYCEE MACODOU KANGUE SALL,1,Pass,2,1998,11.88,11.04,8.06,9.27,12,11,7,4,8,4.0,213,8.19,13.38,15.88,20,174.0,241,7.6,224
 Dakar,1,Première Session,Bien,14.93,PASSE,1,2018,M,S1,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,2,2011,12.85,13.74,11.29,10.98,10,9,6,6,8,7.0,246,9.11,12.37,14.5,20,244.0,107,114.93,4
 Fatick,1,Deuxième Session,,6.91,NON ADMIS,1,2018,M,S2,LYCEE DE MBAR,Académie de Fatick,COLOBANE,LYCEE DE COLOBANE,1,ABien,1,2011,11.89,12.4,12.99,13.09,18,16,8,4,7,9.0,312,12.0,12.0,14.12,18,288.0,34,6.91,242
 Kaolack,1,Deuxième Session,,3.83,NON ADMIS,1,2018,M,S2,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,Académie de Pikine - Guédiawaye,KEUR MASSAR,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,3,Pass,1,2007,10.57,11.34,11.45,11.35,13,10,9,8,8,10.0,260,10.0,10.0,10.88,22,159.3,270,3.83,317
 Dakar,1,Première Session,Passable,10.07,PASSE,1,2017,F,S1,LYCEE PLAN JAXAAY,Académie de Rufisque,JAXAAY,LYCEE PLAN JAXAAY,1,Pass,1,2004,13.97,11.9,12.63,13.03,9,9,8,11,13,12.0,270,10.0,10.0,9.0,21,235.0,135,110.07,95
,1,Première Session,Assez-Bien,12.58,PASSE,1,2018,M,S2,ECOLE PRIVEE LES TROIS SCIENTIFIQUES,Académie de Rufisque,RUFISQUE,CEM MOMAR SENE WALY,1,ABien,1,1998,15.35,16.52,14.84,15.61,17,13,13,9,7,8.0,311,11.96,12.0,12.41,20,251.0,90,112.58,29
 Saint-Louis,1,Deuxième Session,,6.37,NON ADMIS,1,2018,F,S2,MIKADO ,Académie de Dakar,DAKAR,INSTITUTION NOTRE DAME,1,Pass,1,1999,13.68,10.61,10.58,12.82,18,9,11,6,8,6.0,267,10.27,10.27,10.59,19,226.0,154,6.37,259
 Kaolack,1,Première Session,Passable,10.92,PASSE,1,2018,M,S2,LYCEE DE LATMINGUE,Académie de Kaolack,KOUTAL,LYCEE DE KOUTAL,1,ABien,1,2006,11.74,13.44,12.28,13.84,14,16,8,11,13,13.0,333,12.81,12.81,14.35,19,252.0,88,110.92,65
 Dakar,1,Première Session,Passable,11.09,PASSE,1,2018,M,S1,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,1,2015,14.36,12.74,11.41,12.22,11,10,9,10,11,6.0,270,10.0,10.0,10.5,19,269.0,54,111.09,59
,1,Première Session,Passable,11.49,PASSE,1,2018,F,S1,LYCEE LAMINE GUEYE,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,2,Pass,2,2014,12.74,10.06,13.58,12.86,8,13,8,7,4,6.0,251,9.3,11.07,13.5,19,247.0,99,111.49,47
 Dakar,1,Première Session,Passable,10.24,PASSE,1,2018,M,S1,LYCEE SEYDINA ISSA ROHOU LAHI,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,1,2010,15.13,13.14,11.94,11.84,12,10,6,9,10,7.0,270,10.0,10.0,11.0,19,278.0,41,110.24,87
 Dakar,1,Deuxième Session,,7.24,NON ADMIS,1,2017,F,S1,LYCEE THIERNO SAIDOU NOUROU TALL,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,1999,12.38,10.83,12.85,10.88,8,12,13,8,7,11.0,275,10.19,10.19,10.0,19,254.0,85,7.24,234
 Ziguinchor,1,Deuxième Session,,7.97,NON ADMIS,1,2017,M,S1,LYCEE DJIGNABO,Académie de Ziguinchor,ZIGUINCHOR,COLLEGE SAINT CHARLES LWANGA,1,Pass,1,1999,12.94,12.45,11.11,11.61,7,12,12,12,12,7.0,280,10.37,10.37,9.5,19,245.0,103,7.97,213
 Fatick,1,Deuxième Session,,1.12,NON ADMIS,1,2018,F,S2,LYCEE DE BASSOUL,Académie de Fatick,BASSOUL,LYCEE DE BASSOUL,1,Pass,2,1999,13.23,12.36,9.87,10.77,8,9,13,12,11,6.0,233,8.96,10.38,9.71,19,136.0,315,1.12,348
 Dakar,1,Deuxième Session,,7.06,NON ADMIS,1,2018,M,S2,LYCEE DE SEBIKOTANE,Académie de Rufisque,SEBIKOTANE,LYCEE DE SEBIKOTANE,3,Pass,1,1996,11.64,10.63,12.68,12.65,18,13,10,13,6,6.0,296,11.38,11.38,12.0,22,216.0,173,7.06,238
 Fatick,1,Deuxième Session,,9.03,AUTORISE,1,2018,F,S2,LYCEE DE PASSY,Académie de Fatick,PASSY,LYCEE DE PASSY,1,Pass,1,2008,12.58,12.06,7.56,10.53,16,15,6,7,6,6.0,266,10.23,10.23,12.12,19,244.0,107,9.03,177
 Diourbel,1,Deuxième Session,,9.14,AUTORISE,1,2017,M,S3,LYCEE TECHNIQUE AMADOU BAMBA,Académie de Diourbel,DIOURBEL,LYCEE TECHNIQUE AMADOU BAMBA,2,Pass,2,1997,12.63,10.92,9.69,10.27,1,6,12,7,9,,296,8.22,11.78,11.0,21,137.75,309,9.14,172
 Dakar,1,Deuxième Session,,6.4,NON ADMIS,1,2018,F,S2,LYCEE DAROU KHOUDOSS ,Académie de Thiès,DAROU KHOUDOSS,LYCEE DAROU KHOUDOSS ,2,Pass,2,1995,10.99,9.74,10.19,9.66,10,10,6,5,3,8.0,208,8.0,10.0,11.41,23,142.5,300,6.4,258
 Fatick,1,Deuxième Session,,6.63,NON ADMIS,1,2018,M,S2,COURS PRIVES MARIE CURIE,Académie de Ziguinchor,ZIGUINCHOR,LYCEE DJIGNABO,2,Pass,2,2010,12.3,11.0,11.41,12.62,12,9,9,3,9,7.0,226,8.69,11.69,12.71,19,163.4,260,6.63,249
 Fatick,1,Deuxième Session,,8.66,NON ADMIS,1,2018,F,S1,LYCEE DE NIAKHAR,Académie de Fatick,NIAKHAR,LYCEE DE NIAKHAR,1,Pass,2,2010,14.24,12.82,9.7,11.75,5,7,12,7,11,12.0,223,8.26,10.04,8.0,18,197.0,205,8.66,190
 Thiès,1,Deuxième Session,,3.81,NON ADMIS,1,2018,F,S2,LYCEE AHMADOU NDACK SECK THIES,Académie de Thiès,THIES,CEM MAMADOU DIAW THIES,1,ABien,1,1998,13.8,11.91,12.51,12.99,15,12,13,8,9,17.0,337,12.96,12.96,14.65,20,227.0,152,3.81,319
 Dakar,1,Deuxième Session,Passable,10.0,PASSE,1,2018,M,S1,LYCEE DE KEUR MASSAR ,Académie de Pikine - Guédiawaye,KEUR MASSAR,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,1,Pass,2,1999,13.71,11.99,14.37,12.85,8,9,7,5,9,9.0,232,8.59,10.74,12.0,19,236.0,132,10.0,148
 Kaolack,1,Première Session,Passable,10.0,PASSE,1,2018,M,S2,LYCEE MABA DIAKHOU BA,Académie de Kaolack,NIORO,LYCEE MABA DIAKHOU BA,1,Pass,1,2011,15.77,12.48,10.67,11.31,15,12,7,8,9,10.0,280,10.77,10.77,12.18,20,207.0,190,110.0,96
 Fatick,1,Deuxième Session,,10.67,AUTORISE,1,2018,M,S2,LYCEE DE PASSY,Académie de Fatick,PASSY,LYCEE DE PASSY,1,Pass,1,1998,11.16,13.32,9.75,11.59,14,12,6,8,7,8.0,260,10.0,10.0,11.18,21,198.0,203,10.67,125
 Thiès,1,Deuxième Session,,7.2,NON ADMIS,1,2018,M,S2,LYCEE DE SANDIARA,Académie de Thiès,SANDIARA,LYCEE DE SANDIARA,1,Pass,1,2001,12.54,11.87,11.28,11.2,12,12,7,4,9,10.0,260,10.0,10.0,11.29,22,180.0,232,7.2,236
 Thiès,1,Deuxième Session,Passable,10.37,PASSE,1,2018,M,S1,LYCEE AHMADOU NDACK SECK THIES,Académie de Thiès,THIES,CEM MAMADOU DIAW THIES,1,Pass,2,2006,12.61,12.5,12.52,11.41,6,10,10,12,11,6.0,234,8.67,12.59,14.0,21,214.0,178,10.37,136
 Dakar,1,Deuxième Session,,9.38,AUTORISE,1,2018,M,S2,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,Pass,1,1998,12.65,12.12,11.72,12.34,12,13,9,8,12,6.0,261,10.04,10.04,10.24,20,186.0,221,9.38,161
 Dakar,1,Première Session,Passable,11.18,PASSE,1,2018,M,S1,LYCEE CAMP MARCHAND DE RUFISQUE,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,1,Pass,1,1997,14.85,14.56,15.1,14.79,10,9,12,11,12,10.0,280,10.37,10.37,9.5,21,244.0,107,111.18,55
 Ziguinchor,1,Première Session,Passable,10.24,PASSE,1,2018,M,S1,LYCEE AHOUNE SANE,Académie de Ziguinchor,BIGNONA,CEM ARFANG BESIRE SONKO,1,Pass,2,2011,13.44,11.96,9.22,9.2,5,11,11,5,6,6.0,221,8.19,10.33,11.5,18,221.0,164,110.24,87
 Dakar,1,Deuxième Session,,8.87,NON ADMIS,1,2018,M,S2,LYCEE BANQUE ISLAMIQUE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE BANQUE ISLAMIQUE,1,Pass,1,1998,14.17,10.71,12.55,11.66,13,10,10,8,7,9.0,260,10.0,10.0,10.53,20,177.0,235,8.87,181
 Kaolack,1,Deuxième Session,,9.53,AUTORISE,1,2018,M,S2,LYCEE DE TAIBA NIASSENE,Académie de Kaolack,TAIBA NIASSENE,LYCEE DE TAIBA NIASSENE,1,Pass,2,2011,14.29,13.07,9.92,10.05,6,9,9,7,10,10.0,221,8.5,11.0,11.41,20,108.0,341,9.53,155
